RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,4.36,124.51,FALSE,35,1620,5,208.08,198378,1586,18,9,196778,Trial: 18
alcohol_01,10.02,47.49,TRUE,211,2020,6,849.97,198624,1810,18,9,196778,Trial: 18
alcohol_01,3.46,119.42,FALSE,29,2263,7,222.36,199026,2235,18,9,196778,Trial: 18
alcohol_01,1.39,69.73,FALSE,20,3485,8,96.58,200253,3466,18,9,196778,Trial: 18
alcohol_01,0.5,29.58,FALSE,17,3824,9,47.46,200591,3808,18,9,196778,Trial: 18
alcohol_01,2.77,11.55,TRUE,240,502,1,1076.36,201189,263,19,9,200888,Trial: 19
alcohol_01,8.95,186.41,FALSE,48,829,2,342.86,201687,782,19,9,200888,Trial: 19
alcohol_01,1.55,67.52,FALSE,23,980,3,122.68,201856,958,19,9,200888,Trial: 19
alcohol_01,20.18,292.47,FALSE,69,1227,4,455.29,202078,1159,19,9,200888,Trial: 19
alcohol_01,14.85,200.63,FALSE,74,1526,5,337.48,202358,1453,19,9,200888,Trial: 19
alcohol_01,12.72,40.92,TRUE,311,2127,6,837.81,202765,1817,19,9,200888,Trial: 19
alcohol_01,3.05,109.01,FALSE,28,2362,7,173.75,203237,2335,19,9,200888,Trial: 19
alcohol_01,2.02,87.77,FALSE,23,2853,8,133.06,203730,2831,19,9,200888,Trial: 19
alcohol_01,1.48,70.31,FALSE,21,3702,9,102.07,204580,3682,19,9,200888,Trial: 19
alcohol_01,2.99,20.35,FALSE,147,439,1,513.54,205822,293,20,9,205483,Trial: 20
alcohol_01,8.35,173.88,FALSE,48,739,2,335.27,206192,692,20,9,205483,Trial: 20
alcohol_01,0.74,40.96,FALSE,18,883,3,68.36,206355,866,20,9,205483,Trial: 20
alcohol_01,21.53,287.04,FALSE,75,1111,4,448.81,206550,1037,20,9,205483,Trial: 20
alcohol_01,5.31,120.64,FALSE,44,1815,5,229.78,207269,1772,20,9,205483,Trial: 20
alcohol_01,4.29,16,TRUE,268,2302,6,1262.96,207577,2035,20,9,205483,Trial: 20
alcohol_01,1.31,65.45,FALSE,20,3104,7,96.08,208578,3085,20,9,205483,Trial: 20
alcohol_01,1.19,62.55,FALSE,19,4448,8,83.75,209922,4430,20,9,205483,Trial: 20
alcohol_01,27.08,253.04,TRUE,107,4769,9,1091.16,210175,4663,20,9,205483,Trial: 20
alcohol_01,2.79,107.2,FALSE,26,501,1,187.97,210771,476,21,9,210282,Trial: 21
alcohol_01,8.63,187.55,FALSE,46,780,2,342.34,211033,735,21,9,210282,Trial: 21
