condition,id,trial,peak_time,peak_point,freqency,trial_start,amplitude,avg_velocity,duration,sac_end_time,sac_index,peak_velocity,sac_peak_velocity_time,sac_start_time,trial_saccade_total,trial_start_time
alcohol,4,92,13.666666666666666,0.5176518883415434,4.0,446555.0,3.1133333333333333,3.1133333333333333,26.333333333333332,3768.0,3.0,200.32333333333335,4739772.333333333,3742.6666666666665,4.0,4736017.0
alcohol,4,93,11.5,0.4472955747955748,10.0,450982.0,1.9112500000000001,1.9112500000000001,26.375,2672.125,5.375,126.00375000000001,4743101.25,2646.75,10.0,4740444.0
alcohol,4,94,13.166666666666666,0.43441769999348345,7.0,455577.0,5.266666666666667,5.266666666666667,32.666666666666664,1939.3333333333333,4.0,210.49999999999997,4746958.833333333,1907.6666666666667,7.0,4745039.0
alcohol,4,95,11.714285714285714,0.4079086740750076,8.0,459897.0,2.494285714285714,2.494285714285714,30.571428571428573,2241.285714285714,4.571428571428571,159.44,4751581.428571428,2211.714285714286,8.0,4749359.0
alcohol,4,96,10.75,0.5340158532572726,9.0,464378.0,1.8500000000000003,1.8500000000000003,20.375,2488.5,4.5,121.8175,4756318.875,2469.125,9.0,4753840.0
baseline,1,1,10.666666666666666,0.44507575757575757,7.0,0.0,2.538333333333333,2.538333333333333,25.166666666666668,1236.3333333333333,3.5,160.28166666666667,248209.83333333334,1212.1666666666667,7.0,246988.0
baseline,1,2,7.428571428571429,0.4495790269989355,7.0,4151.0,0.6728571428571429,0.6728571428571429,17.428571428571427,2013.0,4.0,63.16428571428571,253142.0,1996.5714285714287,7.0,251139.0
baseline,1,3,10.666666666666666,0.43960726105025477,7.0,8259.0,0.9049999999999999,0.9049999999999999,28.5,1647.8333333333333,4.166666666666667,141.67,256877.0,1620.3333333333333,7.0,255247.0
baseline,1,4,8.8,0.3838028369334371,6.0,12535.0,0.594,0.594,30.0,2217.4,4.0,152.76399999999998,261719.2,2188.4,6.0,259523.0
baseline,1,5,10.142857142857142,0.40664245799178333,8.0,17044.0,0.7871428571428571,0.7871428571428571,32.714285714285715,1996.2857142857142,4.142857142857143,128.03428571428574,266005.71428571426,1964.5714285714287,8.0,264032.0
baseline,1,6,7.0,0.3181818181818182,2.0,21428.0,0.62,0.62,22.0,445.0,1.0,51.58,268846.0,424.0,2.0,268416.0
baseline,1,7,6.666666666666667,0.4901960784313726,5.0,25666.0,0.7833333333333333,0.7833333333333333,13.666666666666666,1975.3333333333333,2.3333333333333335,62.06666666666667,274622.3333333333,1962.6666666666667,5.0,272654.0
baseline,1,8,12.375,0.4907020728631982,9.0,30453.0,4.2675,4.2675,22.875,3298.25,4.875,301.61375,280728.75,3276.375,9.0,277441.0
